,Title,Link,Date,Summary,Thumbnail
57,Urania e TI PORTIAMO CLIENTI insieme per la Stagione 2020/2021,http://www.uraniabasket.it/news/64673451526/urania-e-ti-portiamo-clienti-insieme-per-la-stagione-2020-2021,2020-08-09,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con TI PORTIAMO CLIENTI per la Stagione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_60596442325_1596986125518964.png
58,Urania e MOBBI insieme per la stagione 2020/2021,http://www.uraniabasket.it/news/339551358470/urania-e-mobbi-insieme-per-la-stagione-2020-2021,2020-08-06,"Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con MOBBI per la Stagione 2020/2021.

Chi...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_335474349269_1596708167320231.png
59,I Wildcats si affidano ancora alle “mani” di Daniele Gromero,http://www.uraniabasket.it/news/236472143366/i-wildcats-si-affidano-ancora-alle-mani-di-daniele-gromero,2020-08-03,"Urania si affaccia alla ripartenza per il prossimo torneo affidando ancora una volta, per il nono anno consecutivo, la gestione della...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_266754872533_1596460691325100.jpg
60,"Staff tecnico al completo, Niccolò Locati e Christian Merani restano con i Wildcats",http://www.uraniabasket.it/news/511350050310/staff-tecnico-al-completo-niccolo-locati-e-christian-merani-restano-con-i-wildcats,2020-07-31,"Completa lo staff tecnico Urania che va sul sicuro puntando sull’esperienza consolidata con i Wildcats, in qualità di assistenti di...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_404193826005_1596193528289377.jpg
61,"Confermato anche il nocchiero di coach Davide Villa, resta con i Wildcats Cece Riva",http://www.uraniabasket.it/news/99033189894/confermato-anche-il-nocchiero-di-coach-davide-villa-resta-con-i-wildcats-cece-riva,2020-07-27,"Un’altra conferma in casa Urania, questa volta è lo staff tecnico dei Wildcats in primo piano. A fianco di coach Villa resta come primo...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_163675657429_1595862275905111.jpg
62,Sguardo sul Settore Giovanile con Andrea Schiavi,http://www.uraniabasket.it/news/373911096838/sguardo-sul-settore-giovanile-con-andrea-schiavi,2020-07-24,"Tempo di vacanze, ma in casa Urania è tempo anche di programmazione per il Settore Giovanile Wildcats. Per avere un aggiornamento della...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_438553564373_1595544739949114.jpg
63,Tommaso Raspino è il nuovo colpo dei Wildcats,http://www.uraniabasket.it/news/167752666630/tommaso-raspino-e-il-nuovo-colpo-dei-wildcats,2020-07-22,Continua il completamento del mosaico da parte di Urania che ha arricchito la sua batteria di esterni con l’arrivo di Tommaso Raspino. Reduce...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_26236703957_1595423639523758.jpg
64,"Il Principe dei Wildcats resta a Milano, Matteo Montano rinnova con Urania",http://www.uraniabasket.it/news/442630573574/il-principe-dei-wildcats-resta-a-milano-matteo-montano-rinnova-con-urania,2020-07-17,"Ulteriore conferma illustre per Urania che estende di un’altra stagione il legame con Matteo Montano.

Dopo un campionato a tratti regale da:...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_301114610901_1594984848702827.jpg
65,"Urania rinnova con il Capitano, Benevelli resta con i Wildcats",http://www.uraniabasket.it/news/30313713158/urania-rinnova-con-il-capitano-benevelli-resta-con-i-wildcats,2020-07-15,"Altro tassello nella costruzione dei nuovi Wildcats edizione 2020/21, Urania ed Andrea Benevelli continuano il loro percorso insieme anche per il...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_232395134165_1594828643833286.jpg
66,Organigramma Settore Giovanile Urania Milano 2020-2021,http://www.uraniabasket.it/news/305191620102/organigramma-settore-giovanile-urania-milano-2020-2021,2020-07-12,E' tutto pronto in casa Urania per la ripartenza (alla grande) del Settore Giovanile Wildcats. Proprio in questi giorni si stanno definendo (nel...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_387013956821_1594562002917251.png
